#region irank jrank  MPI_call buffer_size ncalls total_time min_time max_time
ipm_noregion 8 0 MPI_Comm_size 0 1 0.0000e+00 0.0000e+00 0.0000e+00
ipm_noregion 6 0 MPI_Comm_size 0 1 0.0000e+00 0.0000e+00 0.0000e+00
ipm_noregion 5 0 MPI_Comm_size 0 1 9.5367e-07 9.5367e-07 9.5367e-07
ipm_noregion 0 0 MPI_Comm_size 0 1 0.0000e+00 0.0000e+00 0.0000e+00
ipm_noregion 11 0 MPI_Comm_size 0 1 0.0000e+00 0.0000e+00 0.0000e+00
ipm_noregion 7 0 MPI_Comm_size 0 1 0.0000e+00 0.0000e+00 0.0000e+00
ipm_noregion 9 0 MPI_Comm_size 0 1 0.0000e+00 0.0000e+00 0.0000e+00
ipm_noregion 4 0 MPI_Comm_size 0 1 0.0000e+00 0.0000e+00 0.0000e+00
ipm_noregion 1 0 MPI_Comm_size 0 1 9.5367e-07 9.5367e-07 9.5367e-07
ipm_noregion 3 0 MPI_Comm_size 0 1 0.0000e+00 0.0000e+00 0.0000e+00
ipm_noregion 10 0 MPI_Comm_size 0 1 0.0000e+00 0.0000e+00 0.0000e+00
ipm_noregion 2 0 MPI_Comm_size 0 1 9.5367e-07 9.5367e-07 9.5367e-07
ipm_noregion 10 0 MPI_Comm_rank 0 1 4.0531e-06 4.0531e-06 4.0531e-06
ipm_noregion 2 0 MPI_Comm_rank 0 1 5.0068e-06 5.0068e-06 5.0068e-06
ipm_noregion 3 0 MPI_Comm_rank 0 1 5.0068e-06 5.0068e-06 5.0068e-06
ipm_noregion 4 0 MPI_Comm_rank 0 1 1.9073e-06 1.9073e-06 1.9073e-06
ipm_noregion 1 0 MPI_Comm_rank 0 1 4.0531e-06 4.0531e-06 4.0531e-06
ipm_noregion 9 0 MPI_Comm_rank 0 1 5.0068e-06 5.0068e-06 5.0068e-06
ipm_noregion 7 0 MPI_Comm_rank 0 1 2.1458e-06 2.1458e-06 2.1458e-06
ipm_noregion 5 0 MPI_Comm_rank 0 1 5.0068e-06 5.0068e-06 5.0068e-06
ipm_noregion 8 0 MPI_Comm_rank 0 1 6.1989e-06 6.1989e-06 6.1989e-06
ipm_noregion 6 0 MPI_Comm_rank 0 1 2.1458e-06 2.1458e-06 2.1458e-06
ipm_noregion 0 0 MPI_Comm_rank 0 1 2.8610e-06 2.8610e-06 2.8610e-06
ipm_noregion 11 0 MPI_Comm_rank 0 1 4.0531e-06 4.0531e-06 4.0531e-06
ipm_noregion 2 3 MPI_Isend 20480 7 2.5473e-02 9.5367e-07 2.5456e-02
ipm_noregion 2 1 MPI_Isend 20480 7 2.4080e-05 1.9073e-06 5.9605e-06
ipm_noregion 10 11 MPI_Isend 20480 7 2.5545e-02 2.1458e-06 2.5525e-02
ipm_noregion 10 9 MPI_Isend 20480 7 2.1219e-05 1.9073e-06 5.9605e-06
ipm_noregion 4 5 MPI_Isend 20480 7 2.5537e-02 1.1921e-06 2.5518e-02
ipm_noregion 4 3 MPI_Isend 20480 7 2.5749e-05 1.9073e-06 7.8678e-06
ipm_noregion 3 4 MPI_Isend 20480 7 2.3127e-05 9.5367e-07 1.0014e-05
ipm_noregion 3 2 MPI_Isend 20480 7 2.5277e-02 1.9073e-06 2.5259e-02
ipm_noregion 1 0 MPI_Isend 20480 7 2.5468e-02 1.9073e-06 2.5448e-02
ipm_noregion 1 2 MPI_Isend 20480 7 2.4319e-05 1.9073e-06 9.7752e-06
ipm_noregion 7 6 MPI_Isend 20480 7 2.5532e-02 2.1458e-06 2.5513e-02
ipm_noregion 7 8 MPI_Isend 20480 7 2.3365e-05 1.9073e-06 5.0068e-06
ipm_noregion 9 8 MPI_Isend 20480 7 2.5532e-02 2.8610e-06 2.5512e-02
ipm_noregion 9 10 MPI_Isend 20480 7 2.8133e-05 2.8610e-06 5.9605e-06
ipm_noregion 11 10 MPI_Isend 20480 7 2.5471e-02 3.0994e-06 2.5445e-02
ipm_noregion 8 7 MPI_Isend 20480 7 2.2173e-05 1.9073e-06 8.1062e-06
ipm_noregion 8 9 MPI_Isend 20480 7 2.5125e-02 1.9073e-06 2.5108e-02
ipm_noregion 0 1 MPI_Isend 20480 7 2.5189e-02 2.1458e-06 2.5155e-02
ipm_noregion 6 7 MPI_Isend 20480 7 2.5461e-02 3.8147e-06 2.5429e-02
ipm_noregion 6 5 MPI_Isend 20480 7 3.7909e-05 2.8610e-06 8.1062e-06
ipm_noregion 5 6 MPI_Isend 20480 7 2.3603e-05 1.9073e-06 6.9141e-06
ipm_noregion 5 4 MPI_Isend 20480 7 2.5518e-02 2.8610e-06 2.5498e-02
ipm_noregion 6 0 MPI_Wait 20480 27 1.2255e-03 0.0000e+00 3.4094e-04
ipm_noregion 8 0 MPI_Wait 20480 27 1.5588e-03 0.0000e+00 3.2902e-04
ipm_noregion 5 0 MPI_Wait 20480 27 1.0114e-03 0.0000e+00 2.9302e-04
ipm_noregion 0 0 MPI_Wait 20480 13 7.8821e-04 0.0000e+00 3.9697e-04
ipm_noregion 11 0 MPI_Wait 20480 13 1.8311e-04 0.0000e+00 6.8188e-05
ipm_noregion 7 0 MPI_Wait 20480 27 1.2269e-03 0.0000e+00 2.9492e-04
ipm_noregion 9 0 MPI_Wait 20480 27 1.4524e-03 0.0000e+00 2.9588e-04
ipm_noregion 3 0 MPI_Wait 20480 27 7.7844e-04 0.0000e+00 2.7323e-04
ipm_noregion 4 0 MPI_Wait 20480 27 1.0543e-03 0.0000e+00 3.1400e-04
ipm_noregion 1 0 MPI_Wait 20480 27 5.8389e-04 0.0000e+00 2.1696e-04
ipm_noregion 10 0 MPI_Wait 20480 27 1.7626e-03 0.0000e+00 3.1209e-04
ipm_noregion 2 0 MPI_Wait 20480 27 9.1553e-04 0.0000e+00 3.0804e-04
ipm_noregion 4 0 MPI_Wait 939524096 1 9.5367e-07 9.5367e-07 9.5367e-07
ipm_noregion 1 0 MPI_Wait 939524096 1 1.9073e-06 1.9073e-06 1.9073e-06
ipm_noregion 3 0 MPI_Wait 939524096 1 0.0000e+00 0.0000e+00 0.0000e+00
ipm_noregion 7 0 MPI_Wait 939524096 1 9.5367e-07 9.5367e-07 9.5367e-07
ipm_noregion 9 0 MPI_Wait 939524096 1 9.5367e-07 9.5367e-07 9.5367e-07
ipm_noregion 2 0 MPI_Wait 939524096 1 1.1921e-06 1.1921e-06 1.1921e-06
ipm_noregion 10 0 MPI_Wait 939524096 1 9.5367e-07 9.5367e-07 9.5367e-07
ipm_noregion 11 0 MPI_Wait 939524096 1 9.5367e-07 9.5367e-07 9.5367e-07
ipm_noregion 5 0 MPI_Wait 939524096 1 9.5367e-07 9.5367e-07 9.5367e-07
ipm_noregion 8 0 MPI_Wait 939524096 1 9.5367e-07 9.5367e-07 9.5367e-07
ipm_noregion 6 0 MPI_Wait 939524096 1 2.1458e-06 2.1458e-06 2.1458e-06
ipm_noregion 0 0 MPI_Wait 939524096 1 9.5367e-07 9.5367e-07 9.5367e-07
ipm_noregion 3 0 MPI_Finalize 0 1 0.0000e+00 0.0000e+00 0.0000e+00
ipm_noregion 4 0 MPI_Finalize 0 1 0.0000e+00 0.0000e+00 0.0000e+00
ipm_noregion 1 0 MPI_Finalize 0 1 0.0000e+00 0.0000e+00 0.0000e+00
ipm_noregion 7 0 MPI_Finalize 0 1 0.0000e+00 0.0000e+00 0.0000e+00
ipm_noregion 9 0 MPI_Finalize 0 1 0.0000e+00 0.0000e+00 0.0000e+00
ipm_noregion 2 0 MPI_Finalize 0 1 0.0000e+00 0.0000e+00 0.0000e+00
ipm_noregion 10 0 MPI_Finalize 0 1 0.0000e+00 0.0000e+00 0.0000e+00
ipm_noregion 11 0 MPI_Finalize 0 1 0.0000e+00 0.0000e+00 0.0000e+00
ipm_noregion 8 0 MPI_Finalize 0 1 0.0000e+00 0.0000e+00 0.0000e+00
ipm_noregion 6 0 MPI_Finalize 0 1 0.0000e+00 0.0000e+00 0.0000e+00
ipm_noregion 5 0 MPI_Finalize 0 1 0.0000e+00 0.0000e+00 0.0000e+00
ipm_noregion 0 0 MPI_Finalize 0 1 0.0000e+00 0.0000e+00 0.0000e+00
ipm_noregion 11 10 MPI_Irecv 20480 7 2.4319e-05 0.0000e+00 2.0981e-05
ipm_noregion 6 5 MPI_Irecv 20480 7 4.0531e-06 0.0000e+00 1.1921e-06
ipm_noregion 6 7 MPI_Irecv 20480 7 2.0981e-05 0.0000e+00 1.6928e-05
ipm_noregion 8 9 MPI_Irecv 20480 7 1.3351e-05 0.0000e+00 1.0967e-05
ipm_noregion 8 7 MPI_Irecv 20480 7 4.0531e-06 0.0000e+00 1.1921e-06
ipm_noregion 5 4 MPI_Irecv 20480 7 1.0967e-05 0.0000e+00 9.0599e-06
ipm_noregion 5 6 MPI_Irecv 20480 7 9.5367e-07 0.0000e+00 9.5367e-07
ipm_noregion 0 1 MPI_Irecv 20480 7 1.3828e-05 0.0000e+00 1.0967e-05
ipm_noregion 1 2 MPI_Irecv 20480 7 9.5367e-07 0.0000e+00 9.5367e-07
ipm_noregion 1 0 MPI_Irecv 20480 7 1.3828e-05 0.0000e+00 1.1921e-05
ipm_noregion 4 5 MPI_Irecv 20480 7 1.0967e-05 0.0000e+00 1.0014e-05
ipm_noregion 4 3 MPI_Irecv 20480 7 2.1458e-06 0.0000e+00 1.1921e-06
ipm_noregion 3 2 MPI_Irecv 20480 7 1.5020e-05 0.0000e+00 1.2159e-05
ipm_noregion 3 4 MPI_Irecv 20480 7 1.9073e-06 0.0000e+00 9.5367e-07
ipm_noregion 9 8 MPI_Irecv 20480 7 1.2875e-05 0.0000e+00 1.0014e-05
ipm_noregion 9 10 MPI_Irecv 20480 7 2.1458e-06 0.0000e+00 1.1921e-06
ipm_noregion 7 6 MPI_Irecv 20480 7 1.2875e-05 0.0000e+00 9.0599e-06
ipm_noregion 7 8 MPI_Irecv 20480 7 3.8147e-06 0.0000e+00 9.5367e-07
ipm_noregion 2 1 MPI_Irecv 20480 7 9.5367e-07 0.0000e+00 9.5367e-07
ipm_noregion 2 3 MPI_Irecv 20480 7 1.5020e-05 0.0000e+00 1.3828e-05
ipm_noregion 10 9 MPI_Irecv 20480 7 9.5367e-07 0.0000e+00 9.5367e-07
ipm_noregion 10 11 MPI_Irecv 20480 7 1.2159e-05 0.0000e+00 9.0599e-06
ipm_noregion 1 0 MPI_Init 0 1 0.0000e+00 0.0000e+00 0.0000e+00
ipm_noregion 4 0 MPI_Init 0 1 0.0000e+00 0.0000e+00 0.0000e+00
ipm_noregion 3 0 MPI_Init 0 1 0.0000e+00 0.0000e+00 0.0000e+00
ipm_noregion 9 0 MPI_Init 0 1 0.0000e+00 0.0000e+00 0.0000e+00
ipm_noregion 7 0 MPI_Init 0 1 0.0000e+00 0.0000e+00 0.0000e+00
ipm_noregion 10 0 MPI_Init 0 1 0.0000e+00 0.0000e+00 0.0000e+00
ipm_noregion 2 0 MPI_Init 0 1 0.0000e+00 0.0000e+00 0.0000e+00
ipm_noregion 0 0 MPI_Init 0 1 0.0000e+00 0.0000e+00 0.0000e+00
ipm_noregion 8 0 MPI_Init 0 1 0.0000e+00 0.0000e+00 0.0000e+00
ipm_noregion 6 0 MPI_Init 0 1 0.0000e+00 0.0000e+00 0.0000e+00
ipm_noregion 5 0 MPI_Init 0 1 0.0000e+00 0.0000e+00 0.0000e+00
ipm_noregion 11 0 MPI_Init 0 1 0.0000e+00 0.0000e+00 0.0000e+00
